"4/4/2013 3:08 AM";"4/4/2013 3:09 AM";"Alarm limit exceeded (Notification repeat 3)";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-85.3";"°C";"0";"Freezer 10";"-48.7";"°C";"4";"Ambient Temp";"25.3";"°C";"0";"4C Walk-in";"4.8";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/4/2013 3:30 AM";"";"Acknowledged: Alarm limit exceeded";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM ACKNOWLEDGED";"Reason For Alarm";"";"";""
"4/8/2013 4:14 PM";"4/8/2013 4:15 PM";"Alarm limit normal";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-82.7";"°C";"0";"Freezer 10";"-65.2";"°C";"0";"Ambient Temp";"24.7";"°C";"0";"4C Walk-in";"4.5";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/9/2013 11:11 AM";"4/9/2013 11:12 AM";"Alarm limit exceeded";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-83.5";"°C";"0";"Freezer 10";"-62.9";"°C";"4";"Ambient Temp";"30.1";"°C";"0";"4C Walk-in";"2.5";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/9/2013 11:41 AM";"4/9/2013 11:42 AM";"Alarm limit exceeded (Notification repeat 1)";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-81.5";"°C";"0";"Freezer 10";"-58.0";"°C";"4";"Ambient Temp";"29.7";"°C";"0";"4C Walk-in";"4.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/9/2013 12:11 PM";"4/9/2013 12:12 PM";"Alarm limit exceeded (Notification repeat 2)";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-78.7";"°C";"0";"Freezer 10";"-53.0";"°C";"4";"Ambient Temp";"30.3";"°C";"0";"4C Walk-in";"3.7";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/9/2013 12:41 PM";"4/9/2013 12:42 PM";"Alarm limit exceeded (Notification repeat 3)";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-84.3";"°C";"0";"Freezer 10";"-48.2";"°C";"4";"Ambient Temp";"30.9";"°C";"0";"4C Walk-in";"2.6";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/9/2013 1:11 PM";"4/9/2013 1:12 PM";"Alarm limit exceeded (Notification repeat 4)";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-83.3";"°C";"0";"Freezer 10";"-43.9";"°C";"4";"Ambient Temp";"28.7";"°C";"0";"4C Walk-in";"4.0";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/9/2013 1:41 PM";"4/9/2013 1:42 PM";"Alarm limit exceeded (Notification repeat 5)";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-84.3";"°C";"0";"Freezer 10";"-39.7";"°C";"4";"Ambient Temp";"27.8";"°C";"0";"4C Walk-in";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/9/2013 2:11 PM";"4/9/2013 2:12 PM";"Alarm limit exceeded (Notification repeat 6)";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-80.0";"°C";"0";"Freezer 10";"-35.7";"°C";"4";"Ambient Temp";"27.2";"°C";"0";"4C Walk-in";"4.1";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
